"","intercept","r_squared","filter","terms"
"1","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, g_minus_x_g_expected",0.799639450645426,"goals > 1 & goals != pk_standard",8
"2","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, np_g_minus_x_g_expected",0.799275269996993,"goals > 1 & goals != pk_standard",8
"3","log(goals - pk_standard), pos, squad, dist_standard, sh_per_90_standard, age, g_minus_x_g_expected",0.797453417419967,"goals > 1 & goals != pk_standard",7
"4","log(goals - pk_standard), pos, squad, dist_standard, shots, games, born, g_minus_x_g_expected",0.795796341737745,"goals > 1 & goals != pk_standard",8
"5","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age, so_t_per_90_standard",0.795603051507806,"goals > 1 & goals != pk_standard",8
"6","log(goals - pk_standard), pos, squad, dist_standard, shots, games, age",0.795467818271643,"goals > 1 & goals != pk_standard",7
"7","log(goals - pk_standard), pos, squad, dist_standard, games, age, g_minus_x_g_expected",0.792896318284654,"goals > 1 & goals != pk_standard",7
"8","pos, squad, dist_standard, shots, games, age, g_minus_x_g_expected",0.785131920228868,"goals > 1 & goals != pk_standard",7
"9","log(goals - pk_standard), pos, squad, dist_standard, shots, age, g_minus_x_g_expected",0.783087903261396,"goals > 1 & goals != pk_standard",7
"10","log(goals - pk_standard), pos, squad, dist_standard, shots, games, g_minus_x_g_expected",0.781288738247478,"goals > 1 & goals != pk_standard",7
"11","log(goals - pk_standard), pos, squad, dist_standard, shots, games, sh_per_90_standard",0.77812206889833,"goals > 1 & goals != pk_standard",7
"12","log(goals - pk_standard), pos, squad, dist_standard, shots, games",0.777733947774351,"goals > 1 & goals != pk_standard",6
"13","log(goals - pk_standard), pos, squad, dist_standard, sh_per_90_standard",0.775968995746996,"goals > 1 & goals != pk_standard",5
"14","log(goals - pk_standard), pos, dist_standard, shots, games, age, g_minus_x_g_expected",0.775684997899112,"goals > 1 & goals != pk_standard",7
"15","log(goals - pk_standard), pos, squad, dist_standard, age",0.774715314518683,"goals > 1 & goals != pk_standard",5
"16","log(goals - pk_standard), pos, squad, dist_standard, so_t_per_90_standard",0.769461789508444,"goals > 1 & goals != pk_standard",5
"17","log(goals - pk_standard), pos, squad, dist_standard, np_g_minus_x_g_expected",0.766332249140396,"goals > 1 & goals != pk_standard",5
"18","log(goals - pk_standard), pos, squad, dist_standard, g_minus_x_g_expected",0.766222492110605,"goals > 1 & goals != pk_standard",5
"19","log(goals - pk_standard), pos, squad, shots, games, age, g_minus_x_g_expected",0.764409665550696,"goals > 1 & goals != pk_standard",7
"20","log(goals - pk_standard), pos, squad, dist_standard, g_per_sh_standard",0.763704235191504,"goals > 1 & goals != pk_standard",5
"21","log(goals - pk_standard), pos, squad, dist_standard, games",0.763682912898889,"goals > 1 & goals != pk_standard",5
"22","log(goals - pk_standard), shots, x_g_expected, pos, squad, dist_standard",0.763182963465823,"goals > 1 & goals != pk_standard",6
"23","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad",0.762988626009989,"goals > 1 & goals != pk_standard",5
"24","log(goals - pk_standard), pos, squad, dist_standard, shots",0.762927449088199,"goals > 1 & goals != pk_standard",5
"25","log(goals - pk_standard), pos, squad, dist_standard, npx_g_expected",0.762434867317796,"goals > 1 & goals != pk_standard",5
"26","log(goals - pk_standard), pos, squad, dist_standard, fk_standard",0.761606642538196,"goals > 1 & goals != pk_standard",5
"27","log(goals - pk_standard), pos, squad, dist_standard, npx_g_per_sh_expected",0.761458911341156,"goals > 1 & goals != pk_standard",5
"28","log(goals), shots, pos, squad, dist_standard",0.759957229606491,"goals > 1",5
"29","log(goals - pk_standard), pos, squad, dist_standard",0.759494523678898,"goals > 1 & goals != pk_standard",4
"30","log(goals - pk_standard), pos, squad, dist_standard, so_t_percent_standard",0.759030514084193,"goals > 1 & goals != pk_standard",5
"31","log(goals - pk_standard), pos, squad, dist_standard, table_position",0.759023850626477,"goals > 1 & goals != pk_standard",5
"32","log(goals - pk_standard), pos, squad, dist_standard, season",0.7585891483397,"goals > 1 & goals != pk_standard",5
"33","log(goals - pk_standard), x_g_expected, pos, dist_standard, table_position",0.758009784679804,"goals > 1 & goals != pk_standard",5
"34","log(goals), sot, pos, squad, dist_standard",0.757959232606703,"goals > 1",5
"35","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad_group",0.757917825493281,"goals > 1 & goals != pk_standard",5
"36","log(goals), pos, squad, dist_standard",0.755919782024342,"goals > 1",4
"37","log(goals - pk_standard), pos, dist_standard, age",0.742363506892931,"goals > 1 & goals != pk_standard",4
"38","log(goals), pos, squad, x_g_expected, shots",0.737506892757497,"goals > 1",5
"39","log(goals), shots, pos, squad",0.735914286393341,"goals > 1",4
"40","log(goals - pk_standard), shots, x_g_expected, pos, squad",0.735853046231181,"goals > 1 & goals != pk_standard",5
"41","log(goals - pk_standard), x_g_expected, pos, dist_standard",0.73529308769179,"goals > 1 & goals != pk_standard",4
"42","log(goals - pk_standard), shots, x_g_expected, pos, dist_standard",0.735115172988341,"goals > 1 & goals != pk_standard",5
"43","log(goals - pk_standard), squad, pos, age",0.734559211496382,"goals > 1 & goals != pk_standard",4
"44","sqrt(goals), shots, pos, squad",0.733612669844868,"goals > 1",4
"45","goals, shots, pos, squad",0.731271807198443,"goals > 1",4
"46","dist_standard, squad, pos, age",0.730119063135614,"goals > 1 & goals != pk_standard",4
