"","intercept","r_squared","filter","terms","sh_filter","sot_filter","players"
"1","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.999919801025264,"goals > 0 & goals != pk_standard & overall > 89",7,"shots > 0","sot > 0",11
"2","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.991671494402984,"goals > 0 & goals != pk_standard & overall > 88",7,"shots > 0","sot > 0",22
"3","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.961906417550546,"goals > 0 & goals != pk_standard & overall > 87",7,"shots > 0","sot > 0",34
"4","log(goals - pk_standard), primary_position, squad, dist_standard, sh_per_game, age, season",0.923858708111408,"goals > 0 & goals != pk_standard & overall > 82",7,"shots > 0","sot > 0",164
"5","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.91409233211429,"goals > 0 & goals != pk_standard & overall > 86",7,"shots > 0","sot > 0",56
"6","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.897408494617366,"goals > 0 & goals != pk_standard & overall > 82",7,"shots > 0","sot > 0",164
"7","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.896042650234396,"goals > 0 & goals != pk_standard & overall > 84",7,"shots > 0","sot > 0",95
"8","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.893833660825914,"goals > 0 & goals != pk_standard & overall > 85",7,"shots > 0","sot > 0",76
"9","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.885425916120994,"goals > 0 & goals != pk_standard & overall > 81",7,"shots > 0","sot > 0",216
"10","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.885041054098786,"goals > 0 & goals != pk_standard & overall > 83",7,"shots > 0","sot > 0",127
"11","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.872451910988698,"goals > 0 & goals != pk_standard & overall > 80",7,"shots > 0","sot > 0",268
"12","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age",0.869004590591725,"goals > 0 & goals != pk_standard & overall > 79",7,"shots > 0","sot > 0",324
