Nationality,Group
Senegal,Africa
Egypt,Africa
Algeria,Africa
Gabon,Africa
Nigeria,Africa
Morocco,Africa
Cameroon,Africa
Ghana,Africa
Côte d'Ivoire,Africa
Guinea,Africa
Mali,Africa
Burkina Faso,Africa
Congo DR,Africa
Zambia,Africa
Zimbabwe,Africa
Tunisia,Africa
Liberia,Africa
Benin,Africa
Kenya,Africa
Tanzania,Africa
Korea Republic,Asia
Japan,Asia
Iran,Asia
Thailand,Asia
England,England
Belgium,FootballingNations
France,FootballingNations
Netherlands,FootballingNations
Spain,FootballingNations
Brazil,FootballingNations
Uruguay,FootballingNations
Germany,FootballingNations
Italy,FootballingNations
Mexico,FootballingNations
Argentina,FootballingNations
United States,Other
New Zealand,Other
Australia,Other
Jamaica,OtherAmericas
Venezuela,OtherAmericas
Paraguay,OtherAmericas
Chile,OtherAmericas
Grenada,OtherAmericas
Ecuador,OtherAmericas
Norway,OtherEurope
Czech Republic,OtherEurope
Ukraine,OtherEurope
Turkey,OtherEurope
Iceland,OtherEurope
Serbia,OtherEurope
Republic of Ireland,OtherEurope
Slovakia,OtherEurope
Kosovo,OtherEurope
Finland,OtherEurope
Poland,OtherEurope
Bosnia and Herzegovina,OtherEurope
Greece,OtherEurope
Romania,OtherEurope
Albania,OtherEurope
Estonia,OtherEurope
Austria,OtherEurope
Armenia,OtherEurope
Israel,OtherEurope
Portugal,Tier2
Croatia,Tier2
Denmark,Tier2
Colombia,Tier2
Sweden,Tier2
Switzerland,Tier2
Scotland,UK
Northern Ireland,UK
Wales,UK
