Squad,2017-2018,2018-2019,2019-2020,2020-2021
Arsenal,6,5,8,8
Aston Villa,,,17,11
Bournemouth,12,14,18,
Brighton,15,17,15,16
Burnley,7,15,10,17
Cardiff City,,18,,
Chelsea,5,3,4,4
Crystal Palace,11,12,14,14
Everton,8,8,12,10
Fulham,,19,,18
Huddersfield,16,20,,
Leeds United,,,,9
Leicester City,9,9,5,5
Liverpool,4,2,1,3
Manchester City,1,1,2,1
Manchester Utd,2,6,3,2
Newcastle Utd,10,13,13,12
Norwich City,,,20,
Sheffield Utd,,,9,20
Southampton,17,16,11,15
Stoke City,19,,,
Swansea City,18,,,
Tottenham,3,4,6,7
Watford,14,11,19,
West Brom,20,,,19
West Ham,13,10,16,6
Wolves,,7,7,13
